abide,42
about,370
above,124
abroad,63
absence,55
abuse,73
according,34
account,54
accuse,49
acquainted,41
action,231
advantage,86
advice,43
affairs,66
affection,113
affections,40
afraid,41
after,462
afterwards,38
again,1212
alive,89
almost,139
alone,232
along,108
already,139
although,37
always,59
ambition,46
ancient,75
angel,126
anger,417
another,370
answer,455
anything,100
apparel,47
appear,213
appears,49
approach,87
argument,78
ariel,0
armour,54
aside,132
asleep,59
assure,63
athens,0
attend,279
attended,43
authority,51
avoid,48
awake,68
awhile,101
banish,192
barren,40
bassianus,0
bastard,90
battle,146
beard,124
bearing,66
bears,105
beast,129
beaten,48
beauty,224
because,81
become,184
bedford,0
before,629
beggar,119
begin,173
behalf,46
behind,114
behold,154
being,548
believe,197
belike,22
below,52
benefit,47
besides,49
betray,67
better,583
between,195
beyond,43
birth,101
bishop,36
bitter,95
black,172
blame,93
bless,244
blessing,62
blest,80
blind,102
blood,933
blows,70
blunt,38
blush,84
bodies,44
bones,76
borne,93
bottom,40
bought,51
bound,219
bounty,41
brain,148
brains,49
brave,205
breast,116
breath,350
breed,106
brief,100
bright,80
bring,447
broke,234
brook,50
brother,682
brought,186
brows,49
burden,59
buried,56
burning,51
business,235
cannot,718
capitol,0
captain,77
cardinal,12
cares,36
carry,104
castle,61
catch,90
cause,358
cease,63
certain,221
chain,80
chair,46
challenge,55
chamber,147
chance,199
change,237
charge,264
charity,54
chaste,44
cheek,152
cheer,120
chide,55
chief,143
child,373
choice,72
church,88
cinna,0
citizen,62
civil,66
claim,186
clarence,0
claud,0
claudio,0
clear,84
clifford,0
close,159
cloten,0
clothes,41
clouds,57
clown,19
college,4
colour,161
comes,674
comfort,240
coming,159
cominius,0
command,268
commanded,35
commend,119
commercial,0
commission,52
commit,72
common,228
companion,53
company,212
complete,20
complexion,47
condition,84
conduct,51
confess,170
conscience,124
consent,104
consider,74
constable,19
constant,69
contempt,50
content,252
contrary,47
copies,4
copyright,7
could,583
council,30
counsel,172
count,590
counterfeit,67
countess,2
country,239
courage,234
course,252
court,437
courtesy,65
cousin,247
coward,144
crave,70
creature,107
credit,72
cromwell,0
cross,122
crown,384
cruel,99
cunning,78
cupid,0
curse,175
custom,70
dagger,57
damned,43
dance,109
danger,218
darkness,37
daughter,481
deadly,50
dearest,56
dearly,41
death,876
deeds,119
defend,84
degree,62
delight,83
deliver,176
demand,123
denied,52
depart,94
desert,65
deserve,121
desire,290
despair,52
desperate,54
despite,49
device,49
devil,286
devise,53
didst,145
dinner,95
discourse,65
discover,72
disgrace,55
dishonour,66
dispatch,76
displeasure,43
disposition,51
distributed,2
divine,56
doctor,40
doing,78
dolabella,0
doors,61
double,121
doubt,239
download,0
dramatis,0
drawn,86
dread,117
dreadful,61
dream,201
dreams,45
drink,201
drops,56
drown,103
drums,37
drunk,111
duncan,0
durst,45
dwell,71
dying,51
early,63
earth,375
edmund,0
effect,112
egypt,0
either,300
elbow,22
elder,50
embrace,77
emilia,3
emperor,17
empty,51
encounter,59
endure,78
enemies,111
enemy,167
enjoy,64
enobarbus,0
enough,291
enter,587
entertain,98
entertainment,38
entreat,153
equal,66
estate,58
eternal,38
every,519
everything,41
excellent,104
except,41
excuse,79
execution,62
exeter,0
exeunt,7
express,65
faces,53
faint,70
fairy,41
faith,373
falls,68
FALSE,337
familiar,44
fancy,67
farewell,163
farther,42
fashion,123
fatal,43
father,1112
fault,279
favour,201
fearful,99
fears,74
feast,127
feeble,27
fellow,420
fenton,0
ferdinand,0
fetch,107
field,235
fiend,78
fierce,41
fiery,47
fight,310
figure,65
finds,38
finger,112
first,471
flatter,131
flesh,141
flies,60
flight,55
flood,59
flourish,51
flower,100
flowers,47
follow,491
folly,79
foolish,101
fools,100
forbear,51
forbid,79
force,270
forces,45
forest,78
forget,106
former,74
forsooth,42
forth,431
fortune,386
forward,100
fought,67
found,309
fourth,11
frame,54
france,0
freely,52
french,0
fresh,118
friend,991
frown,86
fruit,70
further,187
gallant,70
garden,53
gates,105
gaunt,12
general,205
gentle,898
ghost,49
given,197
giving,39
glass,82
glorious,43
glory,87
going,104
golden,87
goodness,55
gower,0
grace,335
grant,139
grave,234
great,1050
green,93
greet,91
grief,268
grieve,70
gross,94
ground,181
grown,66
guard,165
guess,52
guilty,69
habit,127
hands,342
hanging,57
hangs,34
happiness,57
happy,225
haste,209
hateful,39
having,124
hazard,45
heads,130
health,107
heard,354
heart,1337
heaven,759
heavy,167
hector,0
heels,83
hence,510
